what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478372111803
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478372114565
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478372117406
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1478372117413
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478372124362
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478372128470
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478372133718
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1478372143639
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1478372144333
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1478372157675
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1478372161620
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1478372161623
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478372161778
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1478372161837
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1478372161872
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478372164235
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478372168474
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1478372170962
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478372171931
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478372177808
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478372195269
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1478372197086
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478372200144
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478372206319
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478372206356
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478372208131
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478372219161
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478373510127
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478373649048
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478375025315
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478375071040
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478375091395
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478375128163
started,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1478375158382
