what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478488683556
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478488683869
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478488693567
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478488857503
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478488858730
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478488862859
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478488870843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478488895714
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478488896152
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478488923340
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478488957720
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478488960428
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478488963506
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478488964680
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478488968485
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478489213637
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478489228236
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478489229510
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478489231883
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478489451569
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478493399138
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478493413140
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478493415594
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478494215953
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478495262179
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478495263586
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478495266829
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478495280954
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478495465767
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478495481123
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1478495528236
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1478495535542
no handler,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1478495541420
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1478495542324
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1478495546138
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1478495547194
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1478495550796
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478495553515
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1478495562009
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478495567936
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478495848527
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478495882657
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478495883147
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478495883343
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478495887306
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478495895532
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478495921835
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478496015453
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478496015961
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478496016207
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478496016446
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478496021113
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478496021417
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478496024964
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478496074487
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1478496083647
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1478496334902
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1478496338952
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1478496574016
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478496626493
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1478496989095
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478496992539
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497051857
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497052047
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497052189
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478497076002
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1478497087050
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478497097238
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497261110
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497339919
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497359784
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497370347
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497371597
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497423049
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1478497459601
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478497464845
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497485503
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497487617
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497492410
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497508550
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497515127
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497517866
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497520534
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478497525297
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497526157
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497528786
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497529923
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497532912
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497534654
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497538102
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497549783
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497590363
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497866805
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1478497882851
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1478497883490
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497888170
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497892279
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497892511
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497892994
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497893025
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497893053
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497893083
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497893113
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497893141
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497893173
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497893200
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497893232
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497893262
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497893290
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497893321
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497893347
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497893413
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497893426
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1478497897793
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478497911431
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497935740
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497936192
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478497936689
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497945484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497953921
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497954984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497980665
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497983152
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478497996229
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478498022698
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478498031810
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478498078840
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478498089525
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478498095639
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478498096638
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478498159289
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1478498179413
