what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1478532497478
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1478532501989
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478532794808
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478537954337
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478538990982
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1478539088821
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1478539093069
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478539093913
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1478539239823
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1478539241221
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478539244885
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478539245582
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478539246321
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478539252514
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1478539268988
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1478539307508
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478539309275
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478539314549
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478539374780
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1478539381813
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1478539405702
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478539434703
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478539492092
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478539494701
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478539507798
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478539624141
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478539625708
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478539627524
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478539631650
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478539649989
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478545027556
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1478545041768
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478545046687
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478545134535
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478545145767
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478545318465
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1478545327630
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1478545333818
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1478545342217
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1478545373368
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478545374601
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1478545381629
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1478545386979
