what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478471511383
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478471511681
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478471903060
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478471915202
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478472039948
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478472040825
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478472171591
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478472177427
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1478472286504
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1478472520789
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1478472579361
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1478472646388
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1478472647589
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1478472651018
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478472652340
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478472656899
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildProject",1478472666830
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478472742312
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1478472744052
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1478472761582
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1478472767931
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1478472778735
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1478472817118
