what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1480838397724
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1480838397725
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1480838403556
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1480838404973
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1480838404979
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1480838404979
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1480838411399
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1480838515845
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1480838517693
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1480838542513
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1480838548112
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1480838555165
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1480838562039
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1480838573221
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1480838581899
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1480838587558
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1480838592208
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1480838609750
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1480838609813
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1480838609872
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1480838615087
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1480838624821
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1480838820190
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1480838832263
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1480838836581
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1480838839718
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1480838886868
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1480838890587
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1480838892081
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1480838892087
